region,continent,color
Aruba,Americas,#93c862
Afghanistan,Asia,#c86293
Angola,Africa,#FEC334
Anguilla,Americas,#93c862
Albania,Europe,#6293C8
Finland,Europe,#6293C8
Andorra,Europe,#6293C8
United Arab Emirates,Asia,#c86293
Argentina,Americas,#93c862
Armenia,Asia,#c86293
American Samoa,Oceania,#AA8CC5
Antarctica,NA,#F5F5F5
Australia,Oceania,#AA8CC5
French Southern and Antarctic Lands,NA,#F5F5F5
Antigua,Americas,#93c862
Barbuda,NA,#F5F5F5
Austria,Europe,#6293C8
Azerbaijan,Asia,#c86293
Burundi,Africa,#FEC334
Belgium,Europe,#6293C8
Benin,Africa,#FEC334
Burkina Faso,Africa,#FEC334
Bangladesh,Asia,#c86293
Bulgaria,Europe,#6293C8
Bahrain,Asia,#c86293
Bahamas,Americas,#93c862
Bosnia and Herzegovina,Europe,#6293C8
Saint Barthelemy,Americas,#93c862
Belarus,Europe,#6293C8
Belize,Americas,#93c862
Bermuda,Americas,#93c862
Bolivia,Americas,#93c862
Brazil,Americas,#93c862
Barbados,Americas,#93c862
Brunei,Asia,#c86293
Bhutan,Asia,#c86293
Botswana,Africa,#FEC334
Central African Republic,Africa,#FEC334
Canada,Americas,#93c862
Switzerland,Europe,#6293C8
Chile,Americas,#93c862
China,Asia,#c86293
Ivory Coast,Africa,#FEC334
Cameroon,Africa,#FEC334
Democratic Republic of the Congo,Africa,#FEC334
Republic of Congo,Africa,#FEC334
Cook Islands,Oceania,#AA8CC5
Colombia,Americas,#93c862
Comoros,Africa,#FEC334
Cape Verde,Africa,#FEC334
Costa Rica,Americas,#93c862
Cuba,Americas,#93c862
Curacao,Americas,#93c862
Cayman Islands,Americas,#93c862
Cyprus,Asia,#c86293
Czech Republic,Europe,#6293C8
Germany,Europe,#6293C8
Djibouti,Africa,#FEC334
Dominica,Americas,#93c862
Denmark,Europe,#6293C8
Dominican Republic,Americas,#93c862
Algeria,Africa,#FEC334
Ecuador,Americas,#93c862
Egypt,Africa,#FEC334
Eritrea,Africa,#FEC334
Canary Islands,NA,#F5F5F5
Spain,Europe,#6293C8
Estonia,Europe,#6293C8
Ethiopia,Africa,#FEC334
Fiji,Oceania,#AA8CC5
Falkland Islands,Americas,#93c862
Reunion,Africa,#FEC334
Mayotte,Africa,#FEC334
French Guiana,Americas,#93c862
