Gene	BREAST	GASTROINTESTINAL	LUNG	PROSTATE	GENITOURINARY	CNS	FEMALE_REPRODUCTIVE	MALE_REPRODUCTIVE	SKIN	ENDOCRINE	HEMATOLOGIC	MUSCULOSKELETAL
AIP										TRUE		
ALK						TRUE						
APC		TRUE				TRUE						TRUE
ATM	TRUE	TRUE		TRUE		TRUE					TRUE	
ATR		TRUE							TRUE			
AXIN2		TRUE										
BAP1			TRUE		TRUE				TRUE			
BARD1	TRUE						TRUE					
BLM									TRUE		TRUE	
BMPR1A		TRUE										
BRCA1	TRUE			TRUE			TRUE				TRUE	
BRCA2	TRUE	TRUE		TRUE			TRUE				TRUE	
BRIP1	TRUE						TRUE				TRUE	
BUB1B												TRUE
CDC73										TRUE		
CDH1	TRUE	TRUE										
CDK4									TRUE			
CDKN1B										TRUE		
CDKN1C		TRUE			TRUE		TRUE	TRUE		TRUE		TRUE
CDKN2A		TRUE							TRUE			
CEBPA											TRUE	
CHEK2	TRUE	TRUE		TRUE				TRUE				
CYLD									TRUE			
DDB2									TRUE			
DDX41											TRUE	
DICER1			TRUE									
DKC1									TRUE		TRUE	
EGFR			TRUE									
EPCAM		TRUE										
ERCC2									TRUE			
ERCC3									TRUE			
ERCC4									TRUE			
ERCC5									TRUE			
EXT1												TRUE
EXT2												TRUE
FANCA											TRUE	
FANCC											TRUE	
FANCD2											TRUE	
FANCE											TRUE	
FANCF											TRUE	
FANCG											TRUE	
FANCI											TRUE	
FANCL											TRUE	
FANCM											TRUE	
FH					TRUE		TRUE					TRUE
FLCN					TRUE				TRUE			
GATA2											TRUE	
GPC3					TRUE							
GREM1		TRUE										
HOXB13				TRUE								
HRAS					TRUE	TRUE					TRUE	TRUE
KIT		TRUE										
LZTR1						TRUE						
MAX						TRUE				TRUE		
MEN1		TRUE								TRUE		
MET					TRUE							
MITF					TRUE				TRUE			
MLH1		TRUE		TRUE		TRUE	TRUE					
MSH2		TRUE		TRUE		TRUE	TRUE					
MSH3						TRUE						
MSH6		TRUE		TRUE		TRUE	TRUE					
MUTYH		TRUE										
NBN						TRUE					TRUE	TRUE
NF1						TRUE						
NF2						TRUE						
NTHL1		TRUE										
PALB2	TRUE				TRUE	TRUE	TRUE				TRUE	
PDGFRA		TRUE										
PHOX2B						TRUE						
PMS2		TRUE		TRUE		TRUE	TRUE					
POLD1		TRUE										
POLE		TRUE										
POLH									TRUE			
POT1						TRUE			TRUE			TRUE
PRKAR1A										TRUE		
PTCH1						TRUE			TRUE			
PTEN	TRUE	TRUE		TRUE	TRUE	TRUE	TRUE		TRUE	TRUE		
RAD50	TRUE											
RAD51C							TRUE					
RAD51D							TRUE					
RB1	TRUE		TRUE			TRUE						TRUE
RECQL	TRUE											
RECQL4									TRUE			TRUE
RET										TRUE		
RHBDF2		TRUE										
RUNX1											TRUE	
SBDS											TRUE	
SDHA						TRUE				TRUE		
SDHAF2						TRUE				TRUE		
SDHB						TRUE				TRUE		
SDHC						TRUE				TRUE		
SDHD						TRUE				TRUE		
SMAD4		TRUE										
SMARCA4												TRUE
SMARCB1												TRUE
SMARCE1						TRUE						
STK11	TRUE	TRUE	TRUE				TRUE	TRUE		TRUE		
SUFU						TRUE						
TERC									TRUE		TRUE	
TERT									TRUE		TRUE	
TMEM127					TRUE	TRUE				TRUE		
TP53	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE		TRUE	TRUE	TRUE	TRUE
TSC1		TRUE			TRUE	TRUE						
TSC2		TRUE			TRUE	TRUE						
VHL					TRUE	TRUE				TRUE		
WRN						TRUE						TRUE
WT1					TRUE							
XPA									TRUE			
XPC									TRUE			
MPL	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE		TRUE	TRUE	TRUE	TRUE
PDE6H											TRUE	
