pop,sample,super_pop,gender,population_name
ACB,HG01914,AFR,male,african_caribbean
ACB,HG02144,AFR,female,african_caribbean
ACB,HG01915,AFR,female,african_caribbean
ACB,HG02511,AFR,female,african_caribbean
ACB,HG02255,AFR,male,african_caribbean
ACB,HG02318,AFR,female,african_caribbean
ACB,HG02508,AFR,female,african_caribbean
ACB,HG02339,AFR,female,african_caribbean
ACB,HG02009,AFR,male,african_caribbean
ACB,HG02143,AFR,male,african_caribbean
ACB,HG01990,AFR,male,african_caribbean
ACB,HG02555,AFR,female,african_caribbean
ACB,HG02256,AFR,female,african_caribbean
ACB,HG02317,AFR,male,african_caribbean
ACB,HG02554,AFR,male,african_caribbean
ACB,HG01988,AFR,male,african_caribbean
ACB,HG02010,AFR,female,african_caribbean
ACB,HG01985,AFR,female,african_caribbean
ACB,HG02014,AFR,male,african_caribbean
ACB,HG02477,AFR,female,african_caribbean
ACB,HG02419,AFR,female,african_caribbean
ACB,HG02420,AFR,male,african_caribbean
ACB,HG02549,AFR,female,african_caribbean
ACB,HG01986,AFR,male,african_caribbean
ACB,HG02505,AFR,female,african_caribbean
ACB,HG02107,AFR,male,african_caribbean
ACB,HG02012,AFR,female,african_caribbean
ACB,HG02343,AFR,male,african_caribbean
ACB,HG02455,AFR,male,african_caribbean
ACB,HG01989,AFR,female,african_caribbean
ACB,HG02281,AFR,male,african_caribbean
ACB,HG02314,AFR,male,african_caribbean
ACB,HG02502,AFR,female,african_caribbean
ACB,HG02433,AFR,male,african_caribbean
ACB,HG02315,AFR,female,african_caribbean
ACB,HG02322,AFR,female,african_caribbean
ACB,HG02013,AFR,male,african_caribbean
ACB,HG02325,AFR,female,african_caribbean
ACB,HG01894,AFR,female,african_caribbean
ACB,HG02536,AFR,male,african_caribbean
ACB,HG02537,AFR,female,african_caribbean
ACB,HG02541,AFR,male,african_caribbean
ACB,HG02330,AFR,male,african_caribbean
ACB,HG02546,AFR,female,african_caribbean
ACB,HG02427,AFR,female,african_caribbean
ACB,HG02429,AFR,male,african_caribbean
ACB,HG02476,AFR,female,african_caribbean
ACB,HG02439,AFR,male,african_caribbean
ACB,HG02557,AFR,male,african_caribbean
ACB,HG02323,AFR,male,african_caribbean
ACB,HG02449,AFR,male,african_caribbean
ACB,HG02450,AFR,female,african_caribbean
ACB,HG02332,AFR,male,african_caribbean
ACB,HG02334,AFR,male,african_caribbean
ACB,HG02282,AFR,female,african_caribbean
ACB,HG02054,AFR,female,african_caribbean
ACB,HG02052,AFR,female,african_caribbean
ACB,HG02284,AFR,male,african_caribbean
ACB,HG02580,AFR,female,african_caribbean
ACB,HG02501,AFR,male,african_caribbean
ACB,HG02471,AFR,female,african_caribbean
ACB,HG02479,AFR,female,african_caribbean
ACB,HG02558,AFR,female,african_caribbean
ACB,HG02111,AFR,female,african_caribbean
ACB,HG01956,AFR,female,african_caribbean
ACB,HG02545,AFR,male,african_caribbean
