Idiopathic generalized epilepsy	idiopathic generalized epilepsy,,generalized idiopathic epilepsy, not intractable,,refractory idiopathic generalized epilepsy,,idiopathic generalized epilepsy in childhood,,epilepsy, idiopathic generalized, susceptibility to, 3,,epilepsy, idiopathic generalized, susceptibility to, 2,,epilepsy, idiopathic generalized, susceptibility to, 4 (finding),,epilepsy, idiopathic generalized, susceptibility to, 6,,epilepsy, idiopathic generalized, susceptibility to, 5 (finding),,epilepsy, idiopathic generalized, susceptibility to, 1,,epilepsy, idiopathic generalized, susceptibility to, 9,,epilepsy, idiopathic generalized, susceptibility to, 11,,epilepsy, idiopathic generalized, susceptibility to, 10,,epilepsy, idiopathic generalized, susceptibility to, 7,,epilepsy, idiopathic generalized, susceptibility to, 8,,idiopathic generalized epilepsy, non-refractory,,epilepsy, idiopathic generalized, susceptibility to, 12,,epilepsy, idiopathic generalized, susceptibility to, 13,,epilepsy, idiopathic generalized, susceptibility to, 14,,epilepsy, idiopathic generalized, susceptibility to, 15,,epilepsy, idiopathic generalized, susceptibility to, 16,,photoparoxysmal response 2,,epilepsy, idiopathic generalized, susceptibility to, locus on chromosome 8,,generalized idiopathic epilepsy, not intractable, with status epilepticus,,generalized idiopathic epilepsy and epileptic syndromes without intractability
idiopathic generalized epilepsy	Idiopathic generalized epilepsy
generalized idiopathic epilepsy, not intractable	Idiopathic generalized epilepsy
refractory idiopathic generalized epilepsy	Idiopathic generalized epilepsy
idiopathic generalized epilepsy in childhood	Idiopathic generalized epilepsy
epilepsy, idiopathic generalized, susceptibility to, 3	Idiopathic generalized epilepsy
epilepsy, idiopathic generalized, susceptibility to, 2	Idiopathic generalized epilepsy
epilepsy, idiopathic generalized, susceptibility to, 4 (finding)	Idiopathic generalized epilepsy,,Epilepsy, idiopathic generalized 10
epilepsy, idiopathic generalized, susceptibility to, 6	Idiopathic generalized epilepsy
epilepsy, idiopathic generalized, susceptibility to, 5 (finding)	Idiopathic generalized epilepsy,,Epilepsy, idiopathic generalized 10
epilepsy, idiopathic generalized, susceptibility to, 1	Idiopathic generalized epilepsy
epilepsy, idiopathic generalized, susceptibility to, 9	Idiopathic generalized epilepsy
epilepsy, idiopathic generalized, susceptibility to, 11	Idiopathic generalized epilepsy
epilepsy, idiopathic generalized, susceptibility to, 10	Idiopathic generalized epilepsy,,Epilepsy, idiopathic generalized 10
epilepsy, idiopathic generalized, susceptibility to, 7	Idiopathic generalized epilepsy
epilepsy, idiopathic generalized, susceptibility to, 8	Idiopathic generalized epilepsy
idiopathic generalized epilepsy, non-refractory	Idiopathic generalized epilepsy
epilepsy, idiopathic generalized, susceptibility to, 12	Idiopathic generalized epilepsy
epilepsy, idiopathic generalized, susceptibility to, 13	Idiopathic generalized epilepsy
epilepsy, idiopathic generalized, susceptibility to, 14	Idiopathic generalized epilepsy
epilepsy, idiopathic generalized, susceptibility to, 15	Idiopathic generalized epilepsy
epilepsy, idiopathic generalized, susceptibility to, 16	Idiopathic generalized epilepsy
photoparoxysmal response 2	Idiopathic generalized epilepsy
epilepsy, idiopathic generalized, susceptibility to, locus on chromosome 8	Idiopathic generalized epilepsy
generalized idiopathic epilepsy, not intractable, with status epilepticus	Idiopathic generalized epilepsy
generalized idiopathic epilepsy and epileptic syndromes without intractability	Idiopathic generalized epilepsy
Epilepsy, idiopathic generalized 10	epilepsy, idiopathic generalized, susceptibility to, 10,,epilepsy, idiopathic generalized, susceptibility to, 4 (finding),,epilepsy, idiopathic generalized, susceptibility to, 5 (finding)
Epilepsy, juvenile myoclonic 7	epilepsy, juvenile myoclonic, susceptibility to, 7
epilepsy, juvenile myoclonic, susceptibility to, 7	Epilepsy, juvenile myoclonic 7
Generalized epilepsy with febrile seizures plus type 5	generalized epilepsy with febrile seizures plus, type 5,,generalized epilepsy with febrile seizures plus, type 5, susceptibility to
generalized epilepsy with febrile seizures plus, type 5	Generalized epilepsy with febrile seizures plus type 5
generalized epilepsy with febrile seizures plus, type 5, susceptibility to	Generalized epilepsy with febrile seizures plus type 5
Cardiovascular phenotype	no results
no results	Cardiovascular phenotype,,nonsyndromic genetic deafness,,homocystinuria due to methylene tetrahydrofolate reductase deficiency,,Homocystinuria due to methylene tetrahydrofolate reductase deficiency,,carboplatin response - Efficacy,,cyclophosphamide response - Toxicity/ADR,,methotrexate response - Dosage, Efficacy, Toxicity/ADR,,Hereditary Paraganglioma-Pheochromocytoma Syndromes,,SEPN1-Related Disorders,,Hyperphosphatasia-intellectual disability syndrome,,Multiple Epiphyseal Dysplasia, Dominant,,DFNA 2 Nonsyndromic Hearing Loss,,Autosomal dominant nonsyndromic deafness 2A,,complex neurodevelopmental disorder,,MUTYH-related attenuated familial adenomatous polyposis,,Disorders of Intracellular Cobalamin Metabolism,,Congenital Muscular Dystrophy, alpha-dystroglycan related,,Limb-girdle muscular dystrophy-dystroglycanopathy, type C3,, Congenital muscular dystrophy-dystroglycanopathy with mental retardation, type B3,,Bartter disease type 4a,,Complement component 8 deficiency type 2,,Monogenic Non-Syndromic Obesity,,Homocysteine, total plasma, elevated,,cystathioninuria (disease),,Cone-Rod Dystrophy, Recessive,,Stargardt Disease, Recessive,,ABCA4-Related Disorders,,Stickler Syndrome, Dominant
Shprintzen-Goldberg syndrome	shprintzen-goldberg syndrome,,goldberg-shprintzen megacolon syndrome,,shprintzen omphalocele syndrome,,shprintzen-goldberg syndrome gene mutation detection reagents
shprintzen-goldberg syndrome	Shprintzen-Goldberg syndrome
goldberg-shprintzen megacolon syndrome	Shprintzen-Goldberg syndrome
shprintzen omphalocele syndrome	Shprintzen-Goldberg syndrome
shprintzen-goldberg syndrome gene mutation detection reagents	Shprintzen-Goldberg syndrome
Peroxisome biogenesis disorder 1A (Zellweger)	peroxisome biogenesis disorder 1a (zellweger)
peroxisome biogenesis disorder 1a (zellweger)	Peroxisome biogenesis disorder 1A (Zellweger),,peroxisome biogenesis disorder
Peroxisome biogenesis disorder 6A	peroxisome biogenesis disorder 6a (zellweger)
peroxisome biogenesis disorder 6a (zellweger)	Peroxisome biogenesis disorder 6A,,peroxisome biogenesis disorder
Zellweger syndrome	zellweger syndrome,,pex1 gene,,pex2 gene,,bifunctional peroxisomal enzyme deficiency,,zellweger-like syndrome,,pseudo-zellweger syndrome,,cerebrohepatorenal syndrome, variant types,,zellweger spectrum,,ivd panels, human genetics, metabolic disorder, peroxisomal disorder, zellweger spectrum, zellweger syndrome,,zellweger syndrome, complementation group d, arg176ter,,zellweger syndrome spectrum (zss) gene mutation reagents,,zellweger syndrome (zs) gene mutation reagents,,zellweger syndrome, complementation group d, mild, tyr331cys,,ivd panels, human genetics, metabolic disorder, peroxisomal disorder, zellweger spectrum, zellweger syndrome, mutation,,ivd panels, human genetics, metabolic disorder, peroxisomal disorder, zellweger spectrum, zellweger syndrome, del/dup,,zellweger-like syndrome without peroxisomal anomaly,,contiguous abcd1 dxs1357e deletion syndrome,,peroxisome biogenesis disorders,,zellweger syndrome, complementation group d, mild, 1-bp del, 984g,,zellweger syndrome, complementation group d, mild, del, ex11,,pex2 protein, human,,zellweger syndrome, complementation group d, ivs10, t-c, +2 (allelic variant)
zellweger syndrome	Zellweger syndrome
pex1 gene	Zellweger syndrome
pex2 gene	Zellweger syndrome
bifunctional peroxisomal enzyme deficiency	Zellweger syndrome
zellweger-like syndrome	Zellweger syndrome
pseudo-zellweger syndrome	Zellweger syndrome
cerebrohepatorenal syndrome, variant types	Zellweger syndrome
zellweger spectrum	Zellweger syndrome
