Gene,Disease,MOI,"Expert Panel",SOP,Classification,"Last Eval."
A2ML1,"Noonan syndrome",AD,RASopathy,SOP5,Disputed,06/07/2018
AARS1,"undetermined early-onset epileptic encephalopathy",AR,Epilepsy,SOP6,Limited,11/20/2018
AASS,"hyperlysinemia (disease)",AR,Aminoacidopathy,SOP7,Moderate,06/29/2020
ABCC9,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Limited,11/13/2020
ABCD1,"X-linked cerebral adrenoleukodystrophy",XL,"Intellectual Disability and Autism",SOP5,Definitive,02/07/2018
ABCG5,sitosterolemia,AR,"Hemostasis Thrombosis",SOP6,Definitive,07/10/2020
ABCG8,sitosterolemia,AR,"Hemostasis Thrombosis",SOP6,Definitive,07/14/2020
ABHD12,"PHARC syndrome",AR,"Hearing Loss",SOP5,Definitive,06/28/2018
ACAD8,"isobutyryl-CoA dehydrogenase deficiency",AR,Aminoacidopathy,SOP6,Definitive,04/26/2019
ACAD9,"acyl-CoA dehydrogenase 9 deficiency",AR,"Fatty Acid Oxidation Disorders",SOP6,Definitive,03/27/2018
ACADL,"long chain acyl-CoA dehydrogenase deficiency",AR,"Fatty Acid Oxidation Disorders",SOP7,Disputed,01/25/2021
ACADM,"medium chain acyl-CoA dehydrogenase deficiency",AR,"Fatty Acid Oxidation Disorders",SOP6,Definitive,01/23/2018
ACADS,"short chain acyl-CoA dehydrogenase deficiency",AR,"Fatty Acid Oxidation Disorders",SOP6,Definitive,01/23/2018
ACADSB,"2-methylbutyryl-CoA dehydrogenase deficiency",AR,Aminoacidopathy,SOP6,Definitive,03/22/2019
ACADVL,"very long chain acyl-CoA dehydrogenase deficiency",AR,"Fatty Acid Oxidation Disorders",SOP6,Definitive,02/20/2018
ACAT1,"beta-ketothiolase deficiency",AR,"Fatty Acid Oxidation Disorders",SOP6,Definitive,05/22/2018
ACAT2,"acetyl-CoA acetyltransferase-2 deficiency",Undetermined,"Fatty Acid Oxidation Disorders",SOP7,"No Known Disease Relationship",01/25/2021
ACSF3,"combined malonic and methylmalonic acidemia",AR,Aminoacidopathy,SOP7,Definitive,10/09/2020
ACSL4,"non-syndromic X-linked intellectual disability",XL,"Intellectual Disability and Autism",SOP5,Moderate,10/20/2017
ACTA1,alpha-actinopathy,SD,"Congenital Myopathies",SOP7,Definitive,01/13/2020
ACTA1,"hypertrophic cardiomyopathy",AD,"Hypertrophic Cardiomyopathy",SOP7,"No Known Disease Relationship",05/01/2020
ACTA2,"familial thoracic aortic aneurysm and aortic dissection",AD,"Familial Thoracic Aortic Aneurysm and Dissection",SOP4,Definitive,09/27/2016
ACTC1,"hypertrophic cardiomyopathy",AD,"Hypertrophic Cardiomyopathy",SOP5,Definitive,10/23/2017
ACTC1,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Moderate,08/12/2020
ACTC1,"arrhythmogenic right ventricular cardiomyopathy",AD,"Arrhythmogenic Right Ventricular Cardiomyopathy",SOP7,"No Known Disease Relationship",03/15/2019
ACTG1,"Baraitser-winter syndrome 2",AD,"Hearing Loss",SOP6,Definitive,01/07/2019
ACTG1,"nonsyndromic genetic deafness",AD,"Hearing Loss",SOP6,Definitive,01/07/2019
ACTN1,"platelet-type bleeding disorder 15",AD,"Hemostasis Thrombosis",SOP7,Definitive,11/25/2020
ACTN2,"intrinsic cardiomyopathy",AD,"Hypertrophic Cardiomyopathy",SOP5,Moderate,08/06/2018
ACVRL1,"telangiectasia, hereditary hemorrhagic, type 2",AD,"Hemostasis Thrombosis",SOP6,Definitive,08/28/2019
ACY1,"aminoacylase 1 deficiency",AR,Aminoacidopathy,SOP7,Definitive,09/25/2020
ADA,"adenosine deaminase deficiency",AR,SCID-CID,SOP7,Definitive,11/19/2020
ADAMTS13,"congenital thrombotic thrombocytopenic purpura",AR,"Hemostasis Thrombosis",SOP6,Definitive,03/25/2020
ADAR,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP7,Limited,08/27/2020
ADCY1,"autosomal recessive nonsyndromic deafness",AR,"Hearing Loss",SOP4,Limited,05/10/2017
ADGRV1,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP6,Disputed,03/19/2019
ADGRV1,"Usher syndrome type 2",AR,"Hearing Loss",SOP4,Definitive,02/15/2017
ADNP,"ADNP-related multiple congenital anomalies - intellectual disability - autism spectrum disorder",AD,"Intellectual Disability and Autism",SOP7,Definitive,04/24/2020
ADSL,"adenylosuccinate lyase deficiency",AR,"Intellectual Disability and Autism",SOP7,Definitive,09/07/2020
AFF2,"FRAXE intellectual disability",XL,"Intellectual Disability and Autism",SOP5,Definitive,10/20/2017
AGPS,"rhizomelic chondrodysplasia punctata",AR,"Peroxisomal Disorders",SOP6,Definitive,10/04/2019
AGTR2,"X-linked complex neurodevelopmental disorder",XL,"Intellectual Disability and Autism",SOP7,Disputed,06/02/2020
AHCY,"hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase",AR,Aminoacidopathy,SOP7,Moderate,06/29/2020
AIFM1,"X-linked hereditary sensory and autonomic neuropathy with deafness",XL,"Hearing Loss",SOP6,Definitive,07/09/2018
